title,abstract
"An efficient method for computing the Thouless-Valatin inertia
  parameters","  Starting from the adiabatic time-dependent Hartree-Fock approximation
(ATDHF), we propose an efficient method to calculate the Thouless-Valatin
moments of inertia for the nuclear system. The method is based on the rapid
convergence of the expansion of the inertia matrix. The accuracy of the
proposed method is verified in the rotational case by comparing the results
with the exact Thouless-Valatin moments of inertia calculated using the
self-consistent cranking model. The proposed method is computationally much
more efficient than the full ATDHF calculation, yet it retains a high accuracy
of the order of 1%.
"
Repeating Patterns in Linear Programs that express NP-Complete Problems,"  One of my recent papers transforms an NP-Complete problem into the question
of whether or not a feasible real solution exists to some Linear Program. The
unique feature of this Linear Program is that though there is no explicit bound
on the minimum required number of linear inequalities, which is most probably
exponential to the size of the NP-Complete problem, the Linear Program can
still be described efficiently. The reason for this efficient description is
that coefficients keep repeating in some pattern, even as the number of
inequalities is conveniently assumed to tend to Infinity. I discuss why this
convenient assumption does not change the feasibility result of the Linear
Program. I conclude with two Conjectures, which might help to make an efficient
decision on the feasibility of this Linear Program.
"
"A deeper X-ray study of the core of the Perseus galaxy cluster: the
  power of sound waves and the distribution of metals and cosmic rays","  We make a further study of the very deep Chandra observation of the X-ray
brightest galaxy cluster, A426 in Perseus. We examine the radial distribution
of energy flux inferred by the quasi-concentric ripples in surface brightness,
assuming they are due to sound waves, and show that it is a significant
fraction of the energy lost by radiative cooling within the inner 75-100 kpc,
where the cooling time is 4-5 Gyr, respectively. The wave flux decreases
outward with radius, consistent with energy being dissipated. Some newly
discovered large ripples beyond 100 kpc, and a possible intact bubble at 170
kpc radius, may indicate a larger level of activity by the nucleus a few 100
Myr ago. The distribution of metals in the intracluster gas peaks at a radius
of about 40 kpc and is significantly clumpy on scales of 5 kpc. The temperature
distribution of the soft X-ray filaments and the hard X-ray emission component
found within the inner 50 kpc are analysed in detail. The pressure due to the
nonthermal electrons, responsible for a spectral component interpreted as
inverse Compton emission, is high within 40 kpc of the centre and boosts the
power in sound waves there; it drops steeply beyond 40 kpc. We find no thermal
emission from the radio bubbles; in order for any thermal gas to have a filling
factor within the bubbles exceeding 50 per cent, the temperature of that gas
has to exceed 50 keV.
"
"The Stanley-Reisner ideals of polygons as set-theoretic complete
  intersections","  We show that the Stanley-Reisner ideal of the one-dimensional simplicial
complex whose diagram is an $n$-gon is always a set-theoretic complete
intersection in any positive characteristic.
"
Long-range mutual information and topological uncertainty principle,"  Ordered phases in Landau paradigm can be diagnosed by a local order
parameter, whereas topologically ordered phases cannot be detected in such a
way. In this paper, we propose long-range mutual information(LRMI) as a unified
diagnostic for both conventional long-range order and topological order. Using
the LRMI, we characterize orders in $n+1$D gapped systems as $m$-membrane
condensates with $ 0 \leq m \leq n-1$. The familiar conventional order and 2+1D
topological orders are respectively identified as $0$-membrane and $1$-membrane
condensates. We propose and study the topological uncertainty principle, which
describes the non-commuting nature of non-local order parameters in topological
orders.
"
"Precise Arrhenius law for p-forms: The Witten Laplacian and
  Morse-Barannikov complex","  Accurate asymptotic expressions are given for the exponentially small
eigenvalues of Witten Laplacians acting on p-forms. The key ingredient, which
replaces explicit formulas for global quasimodes in the case p = 0, is
Barannikov's presentation of Morse theory.
"
"Optimal verification of entanglement in a photonic cluster state
  experiment","  We report on the quantification of entanglement by means of entanglement
measures on a four- and a six- qubit cluster state realized by using photons
entangled both in polarization and linear momentum. This paper also addresss
the question of the scaling of entanglement bounds from incomplete tomographic
information on the density matrix under realistic experimental conditions.
"
Flat/AdS boundary conditions in three dimensional conformal gravity,"  We present the asymptotic analysis of 3D conformal gravity as a SO(3,2)
Chern-Simons gauge theory with Minkowskian (flat) and AdS boundary conditions.
We further extend these boundary conditions to the case where the Weyl mode and
the partial massless mode are allowed to fluctuate. The latter leads to loosing
one copy of the Virasoro algebra and the former to a u(1) current extension of
the asymptotic symmetry algebra and shifting the Virasoro central charge by
one. We also give a pedagogical canonical and asymptotic analysis of 3D pure
gravity as an ISO(2,1) Chern-Simons gauge theory with flat boundary conditions.
"
The Smooth Entropy Formalism for von Neumann Algebras,"  We discuss information-theoretic concepts on infinite-dimensional quantum
systems. In particular, we lift the smooth entropy formalism as introduced by
Renner and collaborators for finite-dimensional systems to von Neumann
algebras. For the smooth conditional min- and max-entropy we recover similar
characterizing properties and information-theoretic operational interpretations
as in the finite-dimensional case. We generalize the entropic uncertainty
relation with quantum side information of Tomamichel and Renner and discuss
applications to quantum cryptography. In particular, we prove the possibility
to perform privacy amplification and classical data compression with quantum
side information modeled by a von Neumann algebra.
"
Dynamic Boundaries in Asymmetric Exclusion Processes,"  We investigate the dynamics of a one-dimensional asymmetric exclusion process
with Langmuir kinetics and a fluctuating wall. At the left boundary, particles
are injected onto the lattice; from there, the particles hop to the right.
Along the lattice, particles can adsorb or desorb, and the right boundary is
defined by a wall particle. The confining wall particle has intrinsic forward
and backward hopping, a net leftward drift, and cannot desorb. Performing Monte
Carlo simulations and using a moving-frame finite segment approach coupled to
mean field theory, we find the parameter regimes in which the wall acquires a
steady state position. In other regimes, the wall will either drift to the left
and fall off the lattice at the injection site, or drift indefinitely to the
right. Our results are discussed in the context of non-equilibrium phases of
the system, fluctuating boundary layers, and particle densities in the lab
frame versus the frame of the fluctuating wall.
"
"Extended Kerr-Schild spacetimes: General properties and some explicit
  examples","  We study extended Kerr-Schild (xKS) spacetimes, i.e. an extension of the
Kerr-Schild (KS) ansatz where, in addition to the null KS vector, a spacelike
vector field appears in the metric. In contrast to the KS case, we obtain only
a necessary condition under which the KS vector is geodetic. However, it is
shown that this condition becomes sufficient if we appropriately restrict the
geometry of the null KS and spacelike vector. It turns out that xKS spacetimes
with a geodetic KS vector are of Weyl type I and the KS vector has the same
optical properties in the full and background spacetimes. In the case of Kundt
xKS spacetimes, the compatible Weyl types are further restricted and a few
examples of such metrics are provided. The relation of pp -waves to the class
of Kundt xKS spacetimes is briefly discussed. We also show that the CCLP black
hole, as an example of an expanding xKS spacetime, is of Weyl type Ii, which
specializes to type D in the uncharged or non-rotating limit, and that its
optical matrix satisfies the optical constraint.
"
Mechanical properties of Pt monatomic chains,"  The mechanical properties of platinum monatomic chains were investigated by
simultaneous measurement of an effective stiffness and the conductance using
our newly developed mechanically controllable break junction (MCBJ) technique
with a tuning fork as a force sensor. When stretching a monatomic contact
(two-atom chain), the stiffness and conductance increases at the early stage of
stretching and then decreases just before breaking, which is attributed to a
transition of the chain configuration and bond weakening. A statistical
analysis was made to investigate the mechanical properties of monatomic chains.
The average stiffness shows minima at the peak positions of the
length-histogram. From this result we conclude that the peaks in the
length-histogram are a measure of the number of atoms in the chains, and that
the chains break from a strained state. Additionally, we find that the smaller
the initial stiffness of the chain is, the longer the chain becomes. This shows
that softer chains can be stretched longer.
"
"Ramanujan's Master theorem for the hypergeometric Fourier transform on
  root systems","  Ramanujan's Master theorem states that, under suitable conditions, the Mellin
transform of an alternating power series provides an interpolation formula for
the coefficients of this series. Ramanujan applied this theorem to compute
several definite integrals and power series, which explains why it is referred
to as the ""Master Theorem"". In this paper we prove an analogue of Ramanujan's
Master theorem for the hypergeometric Fourier transform on root systems. This
theorem generalizes to arbitrary positive multiplicity functions the results
previously proven by the same authors for the spherical Fourier transform on
semisimple Riemannian symmetric spaces.
"
"Anomalous Front Broadening During Spontaneous Imbibition in a Matrix
  with Elongated Pores","  During spontaneous imbibition a wetting liquid is drawn into a porous medium
by capillary forces. In systems with comparable pore length and diameter, such
as paper and sand, the front of the propagating liquid forms a continuous
interface. Sections of this interface advance in a highly correlated manner due
to an effective surface tension, which restricts front broadening. Here we
investigate water imbibition in a nanoporous glass (Vycor) in which the pores
are much longer than they are wide. In this case, no continuous liquid-vapor
interface with coalesced menisci can form. Anomalously fast imbibition front
roughening is experimentally observed by neutron imaging.We propose a
theoretical pore network model, whose structural details are adapted to the
microscopic pore structure of Vycor glass, and show that it displays the same
large scale roughening characteristics as observed in the experiment. The model
predicts that menisci movements are uncorrelated. This indicates that despite
the connectivity of the network the smoothening effect of surface tension on
the imbibition front roughening is negligible. These results suggest a new
universality class of imbibition behavior which is expected to occur in any
matrix with elongated, interconnected pores of random radii.
"
A note on solutions of the matrix equation AXB=C,"  This paper deals with necessary and sufficient condition for consistency of
the matrix equation $AXB = C$. We will be concerned with the minimal number of
free parameters in Penrose's formula $X = A^(1)CB^(1) + Y - A^(1)AYBB^(1)$ for
obtaining the general solution of the matrix equation and we will establish the
relation between the minimal number of free parameters and the ranks of the
matrices A and B. The solution is described in the terms of Rohde's general
form of the {1}-inverse of the matrices A and B. We will also use Kronecker
product to transform the matrix equation $AXB = C$ into the linear system $(B^T
\otimes A)vecX = vec C$.
"
Signal Processing in Large Systems: a New Paradigm,"  For a long time, detection and parameter estimation methods for signal
processing have relied on asymptotic statistics as the number $n$ of
observations of a population grows large comparatively to the population size
$N$, i.e. $n/N\to \infty$. Modern technological and societal advances now
demand the study of sometimes extremely large populations and simultaneously
require fast signal processing due to accelerated system dynamics. This results
in not-so-large practical ratios $n/N$, sometimes even smaller than one. A
disruptive change in classical signal processing methods has therefore been
initiated in the past ten years, mostly spurred by the field of large
dimensional random matrix theory. The early works in random matrix theory for
signal processing applications are however scarce and highly technical. This
tutorial provides an accessible methodological introduction to the modern tools
of random matrix theory and to the signal processing methods derived from them,
with an emphasis on simple illustrative examples.
"
"Exactly Solvable Balanced Tenable Urns with Random Entries via the
  Analytic Methodology","  This paper develops an analytic theory for the study of some Polya urns with
random rules. The idea is to extend the isomorphism theorem in Flajolet et al.
(2006), which connects deterministic balanced urns to a differential system for
the generating function. The methodology is based upon adaptation of operators
and use of a weighted probability generating function. Systems of differential
equations are developed, and when they can be solved, they lead to
characterization of the exact distributions underlying the urn evolution. We
give a few illustrative examples.
"
Simple Random Walk on Long Range Percolation Clusters II: Scaling Limits,"  We study limit laws for simple random walks on supercritical long range
percolation clusters on $\Z^d, d \geq 1$. For the long range percolation model,
the probability that two vertices $x, y$ are connected behaves asymptotically
as $\|x-y\|_2^{-s}$. When $s\in(d, d+1)$, we prove that the scaling limit of
simple random walk on the infinite component converges to an $\alpha$-stable
L\'evy process with $\alpha = s-d$ establishing a conjecture of Berger and
Biskup. The convergence holds in both the quenched and annealed senses. In the
case where $d=1$ and $s>2$ we show that the simple random walk converges to a
Brownian motion. The proof combines heat kernel bounds from our companion
paper, ergodic theory estimates and an involved coupling constructed through
the exploration of a large number of walks on the cluster.
"
Young stellar groups in M 33 galaxy: delineation and main parameters,"  The problem of (non-)existence of a typical size of the stellar associations
is revisited by use of deep UBVRI stellar CCD photometry in M 33 from the Local
Group Survey (Massey et al. 2006). We compare the outlines of the `classical OB
associations' (Ivanov 1991) with stellar groups that were selected through an
objective method for determination of the local stellar density and
delineation. Main parameters of some stellar groups like size, shape and
density concentrations are determined.
"
Dynamics of Stochastic Epidemics on Heterogeneous Networks,"  Epidemic models currently play a central role in our attempts to understand
and control infectious diseases. Here, we derive a model for the diffusion
limit of stochastic susceptible-infectious-removed (SIR) epidemic dynamics on a
heterogeneous network. Using this, we consider analytically the early
asymptotic exponential growth phase of such epidemics, showing how the higher
order moments of the network degree distribution enter into the stochastic
behaviour of the epidemic. We find that the first three moments of the network
degree distribution are needed to specify the variance in disease prevalence
fully, meaning that the skewness of the degree distribution affects the
variance of the prevalence of infection. We compare these asymptotic results to
simulation and find a close agreement for city-sized populations.
"
"Optical band gap and associated band-tails in nanocrystalline AlN thin
  films grown by reactive IBSD at different substrate temperatures","  AlN thin films have been grown on Si (100) substrates by reactive ion beam
sputter deposition (IBSD) at different substrate temperatures varying from room
temperature (RT) to 500oC. Substrate temperature induced microstructural
transition from amorphous at RT, nanocrystalline at 300oC to microcrystalline
at 400oC has been observed by Transmission Electron Microscopy (TEM). Average
surface roughness (Ra) and morphology has been explored by using Atomic Force
Microscopy (AFM). UV-VIS spectrophotometry has been employed to probe the
substrate temperature induced changes in optical band-gap (Eg) of grown thin
films in reflectance mode. It was found that Eg was increased from 5.08 to 5.21
eV as substrate temperature was increased from RT to 500oC. Urbach energy tail
(Eu) along with weak absorption tail (WAT) energy (Et) have been estimated to
account for the optical disorder which was found to decrease with associated
increase in Eg.
"
The migration of gas giant planets in gravitationally unstable discs,"  Planets form in the discs of gas and dust that surround young stars. It is
not known whether gas giant planets on wide orbits form the same way as Jupiter
or by fragmentation of gravitationally unstable discs. Here we show that a
giant planet, which has formed in the outer regions of a protostellar disc,
initially migrates fast towards the central star (migration timescale ~10,000
yr) while accreting gas from the disc. However, in contrast with previous
studies, we find that the planet eventually opens up a gap in the disc and the
migration is essentially halted. At the same time, accretion-powered radiative
feedback from the planet, significantly limits its mass growth, keeping it
within the planetary mass regime (i.e. below the deuterium burning limit) at
least for the initial stages of disc evolution. Giant planets may therefore be
able to survive on wide orbits despite their initial fast inward migration,
shaping the environment in which terrestrial planets that may harbour life
form.
"
"Influences of initial streamwise rotation of a droplet under a uniform
  flow","  A spherical droplet is given an initial rotation in the streamwise direction
and is impulsively accelerated by a uniform free stream. Numerical results for
the deformation and dynamics of the droplet are obtained by utilising a finite
volume staggered mesh method with a moving mesh interface tracking scheme. The
fluid dynamics videos of the droplet are presented in the Gallery of Fluid
Motion, 2010. By initially rotating the droplet in the streamwise direction,
the droplet deforms differently depending on the non-dimensional rotation rate,
$\Omega^*$. The families of droplet shape are, in ascending $\Omega^*$,
biconvex, convex-concave and biconcave. While the biconvex and convex-concave
families are due to the compression by the combined vortex ring (the lee side
of the interface). The biconcave family is formed because of the huge surface
tension at the droplet edge that restrains further deformation there. In a
special case, the biconcave family releases the combined vortex ring from the
droplet. The release of the vortex ring is observed to be at $Re$ one order of
magnitude lower than a similar mechanism observed for the flow past a solid
sphere. This release of the vortex ring has led to a series of events and a
reduction in $C_D$.
"
"Evaluating charge noise acting on semiconductor quantum dots in the
  circuit quantum electrodynamics architecture","  We evaluate the charge noise acting on a GaAs/GaAlAs based semiconductor
double quantum dot dipole-coupled to the voltage oscillations of a
superconducting transmission line resonator. The in-phase ($I$) and the
quadrature ($Q$) components of the microwave tone transmitted through the
resonator are sensitive to charging events in the surrounding environment of
the double dot with an optimum sensitivity of $8.5\times10^{-5}
\mbox{e}/\sqrt{\mbox{Hz}}$. A low frequency $1/f$ type noise spectrum combined
with a white noise level of $6.6\times10^{-6}$ $\mbox{e}^2/\mbox{Hz}$ above $1$
Hz is extracted, consistent with previous results obtained with quantum point
contact charge detectors on similar heterostructures. The slope of the $1/f$
noise allows to extract a lower bound for the double-dot charge qubit dephasing
rate which we compare to the one extracted from a Jaynes-Cummings Hamiltonian
approach. The two rates are found to be similar emphasizing that charge noise
is the main source of dephasing in our system.
"
"Innovation Rate Sampling of Pulse Streams with Application to Ultrasound
  Imaging","  Signals comprised of a stream of short pulses appear in many applications
including bio-imaging and radar. The recent finite rate of innovation
framework, has paved the way to low rate sampling of such pulses by noticing
that only a small number of parameters per unit time are needed to fully
describe these signals. Unfortunately, for high rates of innovation, existing
sampling schemes are numerically unstable. In this paper we propose a general
sampling approach which leads to stable recovery even in the presence of many
pulses. We begin by deriving a condition on the sampling kernel which allows
perfect reconstruction of periodic streams from the minimal number of samples.
We then design a compactly supported class of filters, satisfying this
condition. The periodic solution is extended to finite and infinite streams,
and is shown to be numerically stable even for a large number of pulses. High
noise robustness is also demonstrated when the delays are sufficiently
separated. Finally, we process ultrasound imaging data using our techniques,
and show that substantial rate reduction with respect to traditional ultrasound
sampling schemes can be achieved.
"
"Higher-twist mechanism and inclusive gluon production in pion-proton
  collisions","  We calculate the contribution of the higher-twist Feynman diagrams to the
large-$p_T$ inclusive gluon production cross-section in $\pi p$ collisions in
case of the running coupling and frozen coupling approaches within perturbative
and holographic QCD. The structure of infrared renormalon singularities of the
higher-twist subprocess cross-section is obtained and the resummed higher-twist
cross- sections (Borel sum) with the ones obtained in the framework of the
frozen coupling approach and leading-twist cross-section are compared and
analyzed.
"
"Wide-Field InfraRed Survey Telescope-Astrophysics Focused Telescope
  Assets WFIRST-AFTA Final Report","  The Astro2010 Decadal Survey recommended a Wide Field Infrared Survey
Telescope (WFIRST) as its top priority for a new large space mission. As
conceived by the decadal survey, WFIRST would carry out a dark energy science
program, a microlensing program to determine the demographics of exoplanets,
and a general observing program utilizing its ultra wide field. In October
2012, NASA chartered a Science Definition Team (SDT) to produce, in
collaboration with the WFIRST Project Office at GSFC and the Program Office at
JPL, a Design Reference Mission (DRM) for an implementation of WFIRST using one
of the 2.4-m, Hubble-quality mirror assemblies recently made available to NASA.
This DRM builds on the work of the earlier WFIRST SDT, reported by Green et al.
(2012). The 2.4-m primary mirror enables a mission with greater sensitivity and
higher angular resolution than the 1.3-m and 1.1-m designs considered
previously, increasing both the science return of the primary surveys and the
capabilities of WFIRST as a Guest Observer facility. The option of adding an
on-axis, coronagraphic instrument would enable imaging and spectroscopic
studies of planets around nearby stars. This document presents the final report
of the SDT.
"
"The ""Binarity and Magnetic Interactions in various classes of Stars""
  (BinaMIcS) project","  The ""Binarity and Magnetic Interactions in various classes of stars""
(BinaMIcS) project is based on two large programs of spectropolarimetric
observations with ESPaDOnS at CFHT and Narval at TBL. Three samples of
spectroscopic binaries with two spectra (SB2) are observed: known cool magnetic
binaries, the few known hot magnetic binaries, and a survey sample of hot
binaries to search for additional hot magnetic binaries. The goal of BinaMIcS
is to understand the complex interplay between stellar magnetism and binarity.
To this aim, we will characterise and model the magnetic fields, magnetospheric
structure and coupling of both components of hot and cool close binary systems
over a significant range of evolutionary stages, to confront current theories
and trigger new ones. First results already provided interesting clues, e.g.
about the origin of magnetism in hot stars.
"
"A remark on a stability criterion for the radial cavitating map in
  nonlinear elasticity","  An integral functional $I(w) = \int_{B} \left|\adj \nabla w
\frac{w}{|w|^{3}}\right|^{q}$ defined on suitable maps $w$ is studied. The
inequality $I(w) \geq I(\mathbf{id})$, where $\mathbf{id}$ is the identity map,
is established on a subclass of the admissible maps, and as such confirms in
these cases a criterion for the local minimality of the radial cavitating map
in 3 dimensional nonlinear elasticity. The criterion was first identified by J.
Sivaloganathan and S. Spector in, ""Necessary conditions for a minimum at a
radial cavitating singularity in nonlinear elasticity. Ann. I. H. Poincare 25
(2008) no.1, 201-213"".
"
"Continuous Markovian model for Levy random walks with superdiffusive and
  superballistic regimes","  We consider a previously devised model describing Levy random walks (Phys.
Rev E 79, 011110; 80, 031148, (2009)). It is demonstrated numerically that the
given model describes Levy random walks with superdiffusive, ballistic, as well
as superballistic dynamics. Previously only the superdiffusive regime has been
analyzed. In this model the walker velocity is governed by a nonlinear Langevin
equation. Analyzing the crossover from small to large time scales we find the
time scales on which the velocity correlations decay and the walker motion
essentially exhibits Levy statistics. Our analysis is based on the analysis of
the geometric means of walker displacements and allows us to tackle probability
density functions with power-law tails and, correspondingly, divergent moments.
"
"Electromagnetic and gravitational responses of two-dimensional
  non-interacting electrons in background magnetic field","  We compute electromagnetic, gravitational and mixed linear response functions
of two- dimensional free fermions in external quantizing magnetic field at an
integer filling factor. The results are presented in the form of the effective
action and as an expansion of currents and stresses in wave-vectors and
frequencies of the probing electromagnetic and metric fields. We identify the
terms in linear response functions coming from geometric Chern-Simons, Wen-Zee,
and gravitational Chern-Simons terms in effective action. We derive the
expressions for Hall conductivity, Hall viscosity and find the current and
charge density responses to the spatial curvature as well as stresses caused by
inhomogeneous electromagnetic fields.
"
"Recent progress on the combinatorial diameter of polytopes and
  simplicial complexes","  The Hirsch conjecture, posed in 1957, stated that the graph of a
$d$-dimensional polytope or polyhedron with $n$ facets cannot have diameter
greater than $n - d$. The conjecture itself has been disproved, but what we
know about the underlying question is quite scarce. Most notably, no polynomial
upper bound is known for the diameters that were conjectured to be linear. In
contrast, no polyhedron violating the conjecture by more than 25% is known.
  This paper reviews several recent attempts and progress on the question. Some
work in the world of polyhedra or (more often) bounded polytopes, but some try
to shed light on the question by generalizing it to simplicial complexes. In
particular, we include here our recent and previously unpublished proof that
the maximum diameter of arbitrary simplicial complexes is in $n^{Theta(d)}$ and
we summarize the main ideas in the polymath 3 project, a web-based collective
effort trying to prove an upper bound of type nd for the diameters of polyhedra
and of more general objects (including, e. g., simplicial manifolds).
"
"Non-maximal \theta_{23}, large \theta_{13} and tri-bimaximal \theta_{12}
  via quark-lepton complementarity at next-to-leading order","  We show that the next-to-leading order corrections in the quark-lepton
complementarity are important to explain the observed pattern of neutrino
mixing. In particular, the next-to-leading order corrections 1) lead to a
deviation of \theta_{23} from maximal mixing, 2) reduce the predicted value of
$\sin^2 2\theta_{13}$ by 9.8%, 3) provide the same value of $\sin^2
\theta_{12}$ as that of the tri-bimaximal mixing. This is shown by calculating
$\sin^2 2\theta_{ij} (i,j=1,2,3)$ to ${\cal O}(\lambda^6)$ in the framework in
which the product of the CKM and PMNS matrices is bimaximal.
"
Power series determined by an experiment on the unit interval,"  We consider the linear combinations of elements of two sequences: the first
one a priory given nonnegative sequence and the second random sequence from the
unit interval. We investigate the expected value of the smallest natural number
such that the value of these linear combinations exceed a positive number.
After very clear geometrical conclusions, we find the function which expresses
the expected value. Here, we recognize a few known results like the special
cases.
"
"Measurement of orbital asymmetry and strain in Co90Fe10/Ni multilayers
  and alloys: Origins of perpendicular anisotropy","  We use broadband ferromagnetic resonance spectroscopy and x-ray diffraction
to investigate the fundamental origin of perpendicular anisotropy in
Co90Fe10/Ni multilayers. By careful evaluation of the spectroscopic g-factor,
we determine the orbital moment along the out-of-plane and in-plane directions.
For the multilayers, we find a direct relationship between the orbital moment
asymmetry and the perpendicular anisotropy, consistent with the theory of Bruno
[P.Bruno, Phys. Rev. B, 39, 865 (1989)]. A systematic x-ray diffraction study
revealed the presence of a trigonal strain as high as 0.7 % in some samples.
However, we found no direct correlation between the strain and the anisotropy,
indicating that the anisotropy is not dominated by magnetoelastic effects. In
order to further study the interface structure on the anisotropy, we prepared a
set of equivalent alloy samples. The strain in the alloy samples was comparable
to that of the multilayer samples; however the orbital moment asymmetry in the
alloy samples showed a very different trend allowing us to isolate the effect
of the interfaces in the multilayers.
"
Many-Task Computing Tools for Multiscale Modeling,"  This paper discusses the use of many-task computing tools for multiscale
modeling. It defines multiscale modeling and places different examples of it on
a coupling spectrum, discusses the Swift parallel scripting language, describes
three multiscale modeling applications that could use Swift, and then talks
about how the Swift model is being extended to cover more of the multiscale
modeling coupling spectrum.
"
Timed pushdown automata revisited,"  This paper contains two results on timed extensions of pushdown automata
(PDA). As our first result we prove that the model of dense-timed PDA of
Abdulla et al. collapses: it is expressively equivalent to dense-timed PDA with
timeless stack. Motivated by this result, we advocate the framework of
first-order definable PDA, a specialization of PDA in sets with atoms, as the
right setting to define and investigate timed extensions of PDA. The general
model obtained in this way is Turing complete. As our second result we prove
NEXPTIME upper complexity bound for the non-emptiness problem for an expressive
subclass. As a byproduct, we obtain a tight EXPTIME complexity bound for a more
restrictive subclass of PDA with timeless stack, thus subsuming the complexity
bound known for dense-timed PDA.
"
Fermi-LAT Observation of Supernova Remnant S147,"  We present an analysis of gamma-ray data obtained with the Large Area
Telescope (LAT) onboard the Fermi Gamma-ray Space Telescope in the region
around SNR S147 (G180.0-1.7). A spatially extended gamma-ray source detected in
an energy range of 0.2--10 GeV is found to coincide with SNR S147. We confirm
its spatial extension at >5sigma confidence level. The gamma-ray flux is (3.8
\pm 0.6) x 10^{-8} photons cm^{-2} s^{-1}, corresponding to a luminosity of 1.3
x 10^{34} (d/1.3 kpc)^2 erg s^{-1} in this energy range. The gamma-ray emission
exhibits a possible spatial correlation with prominent Halpha filaments of
S147. There is no indication that the gamma-ray emission comes from the
associated pulsar PSR J0538+2817. The gamma-ray spectrum integrated over the
remnant is likely dominated by the decay of neutral pi mesons produced through
the proton--proton collisions in the filaments. Reacceleration of pre-existing
CRs and subsequent adiabatic compression in the filaments is sufficient to
provide the required energy density of high-energy protons.
"
"Large-Scale High-Lundquist Number Reduced MHD Simulations of the Solar
  Corona Using GPU Accelerated Machines","  We have recently carried out a computational campaign to investigate a model
of coronal heating in three-dimensions using reduced magnetohydrodynamics
(RMHD). Our code is built on a conventional scheme using the pseudo-spectral
method, and is parallelized using MPI. The current investigation requires very
long time integrations using high Lundquist numbers, where the formation of
very fine current layers challenge the resolutions achievable even on massively
parallel machines. We present here results of a port to Nvidia CUDA (Compute
Unified Device Architecture) for hardware acceleration using graphics
processing units (GPUs). In addition to a brief discussion of our general
strategy, we will report code performance on several machines which span a
variety of hardware configurations and capabilities. These include a desktop
workstation with commodity hardware, a dedicated research workstation equipped
with four Nvidia C2050 GPUs, as well as several large-scale GPU accelerated
distributed memory machines: Lincoln/NCSA, Dirac/NERSC, and Keeneland/NICS.
"
"Advances in Artificial Intelligence: Deep Intentions, Shallow
  Achievements","  Over the past decade, AI has made a remarkable progress due to recently
revived Deep Learning technology. Deep Learning enables to process large
amounts of data using simplified neuron networks that simulate the way in which
the brain works. At the same time, there is another point of view that posits
that brain is processing information, not data. This duality hampered AI
progress for years. To provide a remedy for this situation, I propose a new
definition of information that considers it as a coupling between two separate
entities - physical information (that implies data processing) and semantic
information (that provides physical information interpretation). In such a
case, intelligence arises as a result of information processing. The paper
points on the consequences of this turn for the AI design philosophy.
"
"Disentangling dark energy and cosmic tests of gravity from weak lensing
  systematics","  We consider the impact of key astrophysical and measurement systematics on
constraints on dark energy and modifications to gravity on cosmic scales. We
focus on upcoming photometric ""Stage III"" and ""Stage IV"" large scale structure
surveys such as DES, SuMIRe, Euclid, LSST and WFIRST. We illustrate the
different redshift dependencies of gravity modifications compared to intrinsic
alignments, the main astrophysical systematic. The way in which systematic
uncertainties, such as galaxy bias and intrinsic alignments, are modelled can
change dark energy equation of state and modified gravity figures of merit by a
factor of four. The inclusion of cross-correlations of cosmic shear and galaxy
position measurements helps reduce the loss of constraining power from the
lensing shear surveys. When forecasts for Planck CMB and Stage IV surveys are
combined, constraints on the dark energy equation of state and modified gravity
model are recovered, relative to those from shear data with no systematic
uncertainties, if fewer than 36 free parameters in total are used to describe
the galaxy bias and intrinsic alignment models as a function of scale and
redshift. To facilitate future investigations, we also provide a fitting
function for the matter power spectrum arising from the phenomenological
modified gravity model we consider.
"
Non-associative key establishment for left distributive systems,"  We construct non-associative key establishment protocols for all left
self-distributive (LD), multi-LD-, and other left distributive systems.
Instantiations of these protocols using generalized shifted conjugacy in braid
groups lead to instances of a natural and apparently new group-theoretic
problem, which we call the (subgroup) conjugacy coset problem.
"
"A Decision Model for Supporting Task Allocation Processes in Global
  Software Development","  Today, software-intensive systems are increasingly being developed in a
globally distributed way. However, besides its benefit, global development also
bears a set of risks and problems. One critical factor for successful project
management of distributed software development is the allocation of tasks to
sites, as this is assumed to have a major influence on the benefits and risks.
We introduce a model that aims at improving management processes in globally
distributed projects by giving decision support for task allocation that
systematically regards multiple criteria. The criteria and causal relationships
were identified in a literature study and refined in a qualitative interview
study. The model uses existing approaches from distributed systems and
statistical modeling. The article gives an overview of the problem and related
work, introduces the empirical and theoretical foundations of the model, and
shows the use of the model in an example scenario.
"
